0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:56:51 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:56:51 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [29/May/2024:21:56:51 -0300] "GET /ProjetoTrilhaWeb2/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:56:51 -0300] "GET /ProjetoTrilhaWeb2/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:56:51 -0300] "GET /ProjetoTrilhaWeb2/pages/site/general/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:18 -0300] "GET /ProjetoTrilhaWeb2/pages/site/produtos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:19 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:19 -0300] "GET /ProjetoTrilhaWeb2/index.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:20 -0300] "GET /ProjetoTrilhaWeb2/pages/site/faleconosco.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:21 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:44 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4945
0:0:0:0:0:0:0:1 - - [29/May/2024:21:57:45 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:59:27 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:59:28 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:59:28 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:59:45 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [29/May/2024:22:01:02 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:01:03 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:22:01:03 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
